title,page_number
"John Bird, a laborer, lies here",461
"I, an unwedded wandering dame",461
"I, Richard Kent, beneath these stones",461
Her grieving parents cradled here,461
Country Thought,461
Nelly Trim,462
The Alarum,463
After He Had Gone,463
Elizabeth,464
Triumph of Sensibility,464
Sad Green,464
Song,464
Song from The Bride of Smithfield,464
The Rival,465
Killing No Murder,465
Modo and Alciphron,465
The Absence,467
Building in Stone,467
Aldous Huxley (1894- ),468
Song of Poplars,468
Fifth Philosopher's Song,469
A Sunset,469
Charles Hamilton Sorley (1895-1915),470
Two Sonnets,471
Saints have adored the lofty soul of you,471
"Such, such is death: no triumph: no defeat",471
The Song of the Ungirt Runners,472
To Germany,472
Rooks,473
All the Hills and Vales,473
Robert Graves (1895- ),474
Neglectful Edward,476
It's a Queer Time,476
A Pinch of Salt,477
Star-Talk,478
I Wonder What It Feels Like to Be Drowned?,479
Escape,479
The Traveler's Curse After Misdirection,480
Song: One Hard Look,480
A Frosty Night,480
In the Wilderness,481
A Forced Music,481
Lost Love,481
Louis Golding (1895- ),482
Plowman at the Plow,482
The Singer of High State,482
Night on the Fields of Enna,483
L. A. G. Strong (1896- ),483
Old Dan'l,484
Zeke,484
"An Old Woman, Outside the Abbey Theater",484
Rufus Prays,484
The Mad Woman of Punnet's Town,485
Lowery Cot,485
The Door,485
March Evening,485
Edmund Blunden (1896- ),486
The Poor Man's Pig,487
A Country God,487
The Barn,488
Eastern Tempest,488
The Midnight Skaters,489
The Recovery,489
Sacheverell Sitwell (1897- ),490
Fountains,490
The Red-Gold Rain,491
"""Psittachus Eois Imitatrix Ales ab Indis""",491
Tulip Tree,492
Kingcups,492
The River God,492
Richard Hughes (1900- ),493
Invocation to the Muse,494
Tramp,494
Lover's Reply to Good Advice,495
On Time,496
Burial of the Spirit,496
Roy Campbell (1902- ),497
The Zebras,497
Tristan da Cunha,498
"From ""The Flaming Terrapin""",500
The Palm,504
Autumn,505
On Some South African Novelists,506
C. Day Lewis (1904- ),506
Nearing Again the Legendary Isle,507
Rest from Loving and Be Living,508
Now She Is Like the White Tree-Rose,508
Do Not Expect Again a Phoenix Hour,509
Chiefly to Mind Appears,509
Tempt Me No More,509
The Conflict,510
Peter Quennell (1905- ),510
Procne,511
The Divers,511
Leviathan,512
John Lehmann (1907- ),514
To Penetrate That Room,515
Looking Within,515
Crimea Red,516
Louis Mac Neice (1907- ),517
Cradle Song,517
Sunday Morning,518
Museums,519
Morning Sun,519
Birmingham,519
W. H. Auden (1907- ),520
Chorus from a Play,522
Ode; To My Pupils,523
The Strings' Excitement,525
This Lunar Beauty,526
Always the Following Wind,526
"Chorus from ""Paid on Both Sides""",527
Ballad,527
Stephen Spender (1909- ),528
Farewell in a Dream,530
Statistics,531
A Whim of Time,531
Epilogue,532
Discovered in Mid-Ocean,532
What I Expected,532
The Prisoners,533
Winter Landscape,533
The Funeral,534
The Express,534
The Landscape Near an Aerodrome,535
An Elementary School Classroom,536
Reference List of Other Poets,537
Index of Authors,539
Index of Titles,541
